0.0407,-0.0495,1.0927,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0251,0.0481,0.4170,0.0659,-0.0015,1.5097,0.0000,0.0000,0.0000
0.0407,-0.0496,1.0895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0040,-0.0011,-0.0040,1.0000,-0.0051,0.0011,0.0051,1.0000,0.0251,0.0481,0.4163,0.0659,-0.0015,1.5058,0.0000,0.0000,0.0000
0.0407,-0.0495,1.0843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0077,-0.0028,-0.0077,0.9999,-0.0126,0.0027,0.0126,0.9999,0.0251,0.0481,0.4137,0.0659,-0.0015,1.4980,0.0000,0.0000,0.0000
0.0408,-0.0495,1.0779,-0.0000,-0.0002,-0.1612,-0.2573,0.0561,0.1994,0.9999,0.0105,-0.0042,-0.0106,0.9998,-0.0183,0.0040,0.0183,0.9998,0.0251,0.0480,0.4083,0.0659,-0.0015,1.4862,0.0000,0.0000,-0.1962
0.0408,-0.0494,1.0711,0.0001,0.0003,-0.2583,-0.3724,0.0807,0.1872,0.9999,0.0121,-0.0063,-0.0123,0.9996,-0.0240,0.0060,0.0240,0.9997,0.0251,0.0479,0.3994,0.0659,-0.0015,1.4705,0.0000,0.0000,-0.3924
0.0408,-0.0492,1.0646,0.0004,0.0020,-0.3188,-0.2856,0.0675,0.1418,0.9999,0.0127,-0.0087,-0.0130,0.9995,-0.0297,0.0083,0.0298,0.9995,0.0250,0.0477,0.3863,0.0659,-0.0015,1.4509,0.0000,0.0000,-0.5886
0.0409,-0.0489,1.0587,0.0011,0.0052,-0.3398,-0.2859,0.1013,0.0816,0.9999,0.0128,-0.0105,-0.0131,0.9994,-0.0333,0.0101,0.0335,0.9994,0.0249,0.0474,0.3686,0.0659,-0.0015,1.4273,0.0000,0.0000,-0.7848
0.0410,-0.0484,1.0540,0.0023,0.0101,-0.3282,-0.2901,0.1190,0.0315,0.9999,0.0128,-0.0115,-0.0132,0.9993,-0.0343,0.0111,0.0345,0.9993,0.0248,0.0469,0.3459,0.0659,-0.0015,1.3999,0.0000,0.0000,-0.9810
0.0412,-0.0477,1.0506,0.0042,0.0170,-0.2920,-0.1820,0.0885,0.0059,0.9998,0.0131,-0.0121,-0.0135,0.9994,-0.0333,0.0116,0.0334,0.9994,0.0246,0.0462,0.3179,0.0659,-0.0015,1.3685,0.0000,0.0000,-1.1772
0.0415,-0.0468,1.0487,0.0068,0.0253,-0.2374,-0.0501,0.0482,0.0026,0.9998,0.0139,-0.0125,-0.0142,0.9994,-0.0307,0.0120,0.0308,0.9995,0.0244,0.0453,0.2844,0.0659,-0.0015,1.3332,0.0000,0.0000,-1.3734
0.0418,-0.0458,1.0485,0.0097,0.0343,-0.1696,0.0523,0.0282,0.0147,0.9998,0.0150,-0.0130,-0.0154,0.9995,-0.0263,0.0126,0.0265,0.9996,0.0240,0.0443,0.2454,0.0659,-0.0015,1.2939,0.0000,0.0000,-1.5696
0.0422,-0.0446,1.0500,0.0128,0.0433,-0.0930,0.1305,0.0227,0.0351,0.9998,0.0164,-0.0137,-0.0167,0.9997,-0.0202,0.0133,0.0204,0.9997,0.0237,0.0431,0.2007,0.0659,-0.0015,1.2508,0.0000,0.0000,-1.7658
0.0427,-0.0433,1.0532,0.0161,0.0518,-0.0107,0.2163,0.0296,0.0547,0.9997,0.0177,-0.0142,-0.0179,0.9997,-0.0134,0.0140,0.0137,0.9998,0.0232,0.0418,0.1505,0.0659,-0.0015,1.2037,0.0000,0.0000,-1.9620
0.0432,-0.0419,1.0579,0.0195,0.0590,0.0748,0.3070,0.0382,0.0647,0.9997,0.0186,-0.0144,-0.0187,0.9998,-0.0074,0.0143,0.0076,0.9999,0.0226,0.0405,0.0947,0.0659,-0.0015,1.1527,0.0000,0.0000,-2.1582
0.0438,-0.0406,1.0614,0.0232,0.0646,0.1597,0.3366,0.0318,0.0619,0.9996,0.0183,-0.0229,-0.0188,0.9996,-0.0197,0.0225,0.0201,0.9995,0.0229,0.0395,0.0940,0.0667,-0.0010,1.1554,0.0000,0.0000,-2.3544
0.0444,-0.0391,1.0636,0.0269,0.0680,0.2362,0.3035,0.0171,0.0375,0.9995,0.0179,-0.0251,-0.0185,0.9996,-0.0211,0.0247,0.0216,0.9995,0.0238,0.0389,0.1426,0.0682,-0.0002,1.2062,0.0000,0.0000,-2.5506
0.0452,-0.0376,1.0660,0.0267,0.0669,0.0615,-1.3603,0.8013,0.0077,0.9997,0.0173,-0.0163,-0.0175,0.9998,-0.0101,0.0161,0.0104,0.9998,0.0246,0.0382,0.1871,0.0698,0.0006,1.2531,0.0784,0.0419,2.7376
0.0460,-0.0360,1.0678,0.0325,0.0723,0.1105,-0.0737,0.1100,-0.0183,0.9997,0.0166,-0.0181,-0.0166,0.9999,-0.0010,0.0181,0.0013,0.9998,0.0254,0.0375,0.2283,0.0714,0.0015,1.2961,0.0784,0.0419,2.5414
0.0468,-0.0345,1.0682,0.0378,0.0769,0.1204,0.5563,-0.4329,-0.0409,0.9995,0.0156,-0.0261,-0.0155,0.9999,0.0059,0.0262,-0.0055,0.9996,0.0261,0.0368,0.2670,0.0729,0.0023,1.3352,0.0784,0.0419,2.3452
