0.0566,0.0689,1.0200,0.2842,0.3205,0.1554,0.4566,-0.6023,-0.0063,1.0000,-0.0030,0.0008,0.0030,0.9996,-0.0289,-0.0007,0.0289,0.9996,-0.0008,-0.0076,0.1163,0.0557,0.0612,1.1363,0.0000,0.0000,-3.3354
0.0622,0.0755,1.0179,0.2835,0.3239,0.0512,0.4492,-0.2932,-0.0157,1.0000,-0.0033,0.0042,0.0034,0.9999,-0.0121,-0.0042,0.0121,0.9999,-0.0065,-0.0142,0.0399,0.0557,0.0612,1.0578,0.0000,0.0000,-3.5316
0.0678,0.0820,1.0115,0.2825,0.3270,-0.0396,0.6213,-0.1117,-0.0136,0.9999,-0.0042,0.0136,0.0039,0.9999,0.0158,-0.0136,-0.0157,0.9998,-0.0124,-0.0198,0.0450,0.0554,0.0622,1.0565,0.0000,0.0000,-3.7278
0.0733,0.0885,1.0019,0.2813,0.3296,-0.1050,0.8391,-0.1738,-0.0133,0.9998,-0.0057,0.0206,0.0050,0.9994,0.0356,-0.0208,-0.0355,0.9992,-0.0186,-0.0245,0.1123,0.0548,0.0639,1.1142,0.0000,0.0000,-3.9240
0.0788,0.0948,0.9919,0.2811,0.3269,-0.4546,1.7207,-0.6115,-0.0257,0.9997,-0.0077,0.0249,0.0065,0.9988,0.0479,-0.0253,-0.0477,0.9985,-0.0246,-0.0291,0.1761,0.0542,0.0657,1.1680,-0.0299,0.0870,3.0826
0.0841,0.1009,0.9816,0.2775,0.3225,-0.4789,0.9894,-0.3582,-0.0613,0.9992,-0.0104,0.0376,0.0080,0.9981,0.0618,-0.0381,-0.0614,0.9974,-0.0306,-0.0335,0.2363,0.0536,0.0674,1.2179,-0.0299,0.0870,2.8864
0.0893,0.1067,0.9709,0.2727,0.3148,-0.4985,0.6164,-0.2195,-0.0865,0.9984,-0.0126,0.0547,0.0085,0.9973,0.0735,-0.0554,-0.0729,0.9958,-0.0363,-0.0376,0.2930,0.0530,0.0692,1.2639,-0.0299,0.0870,2.6902
0.0943,0.1123,0.9600,0.2674,0.3053,-0.5173,0.6899,-0.6391,-0.1114,0.9974,-0.0132,0.0705,0.0076,0.9968,0.0798,-0.0713,-0.0791,0.9943,-0.0419,-0.0414,0.3459,0.0524,0.0709,1.3059,-0.0299,0.0870,2.4940
0.0990,0.1176,0.9490,0.2597,0.2931,-0.5343,0.5792,-0.8626,-0.0833,0.9962,-0.0123,0.0857,0.0051,0.9965,0.0837,-0.0864,-0.0830,0.9928,-0.0472,-0.0449,0.3951,0.0518,0.0726,1.3440,-0.0299,0.0870,2.2978
0.1033,0.1225,0.9381,0.2485,0.2785,-0.5460,0.3134,-0.7974,-0.0132,0.9948,-0.0104,0.1014,0.0015,0.9962,0.0876,-0.1019,-0.0870,0.9910,-0.0521,-0.0481,0.4401,0.0512,0.0744,1.3782,-0.0299,0.0870,2.1016
